trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,0,-107.57668799245855,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,11,14.413906299792828,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,-1.0031297517442765,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-48.48498378972222,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,0,-39.73229161836402,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,15,-58.9570526478224,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",30,10,7.328855930547536,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,2,-34.65751163246466,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,2,3.2959867081816534,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,0,-39.88085832610656,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,16,6.386946329764836,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",30,7,7.155547331975066,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",30,0,1.2245672667726648,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,6,-90.46220552419022,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,17,-26.919559496769136,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",35,19,4.4230733262109005,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",30,0,-56.02178794798933,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,3,2.3958511283830477,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,0,-4.721797859892914,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,10.50378677645676,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,15,1.9765846051047835,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,3,-33.376332777146665,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,0,-39.185248971818766,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,24,11.784323736254505,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,7,-72.49814803231499,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,6,-12.32025524724047,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,13,23.155371006899347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,7,-14.586633973207487,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,0,-51.98036285750216,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,0,-88.7592015055073,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,11,20.82919061458047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,-23.74921256352468,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,2,22.555894184131486,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,0,0.08447819882585916,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",30,12,-17.639992837389467,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,0,11.349302998286587,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,6,10.724351959568763,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,0,2.665193247843919,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,0,10.107460782218087,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,0,-3.96200780874274,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,0,19.137558776735787,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,20,12.192807968453586,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,13,13.976027288420184,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,0,31.87948524282618,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,5,21.69910173992077,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,2,-1.7211389877262628,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,0,9.256742600611803,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,0,-97.53536541397851,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,4,3.9287159961887648,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,16,6.520500445943831,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,15,20.97388701411558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
