trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,6,-6.828444436805318,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,0,-11.015241821277169,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,0,-69.01383364180037,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,4,-5.735903220870233,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,4,-50.10675166159185,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,4,-11.89825499198652,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,16,6.143634076976035,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,0,-55.68050002763762,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",25,7,-30.425018006007257,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,20,12.644134900730064,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,6,-7.250754040928742,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,10,28.41459271969468,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",30,0,0.6321492803161046,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,8,-24.276065661643322,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,10,14.812928752361966,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,9,-2.6929042078325556,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,3,0.33336910464992764,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,0,-11.00391533230694,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,0,-8.542409196777344,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,0,-14.484667660096438,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,10,-6.954781742532436,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,0,-111.15654309101916,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,6,9.885768463000144,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,8,-15.801187897551756,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",30,14,-21.77808513357207,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",25,13,-62.29727931034293,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,10,-29.928754952249133,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",25,0,13.128994640178732,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,12,12.331711726172514,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,3,-62.77246390228979,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,0,-4.651741683888637,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,6,23.62950886769601,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,5,-85.60603616708602,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,10,4.813625620070817,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,15,-13.275771682248433,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,0,-62.851803537713415,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,7,4.390155246283215,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,9,-10.452043199987585,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,14,12.963083190931034,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,19,11.214153701840976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,3,19.429591386697656,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,11,-5.551940830717216,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,16,6.498707565119872,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,0,-61.20208279298934,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,0,-2.5171040457078115,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,13,12.826666635339041,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,8,21.152356617987227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,0,-130.92806031871567,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,4,21.052799549376843,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,0,-17.190240583392253,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,12,14.748948933193576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",30,7,23.89725238271845,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,0,13.52406471682944,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",30,0,-2.8884996315934313,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,4,20.886052802198066,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,9,15.715171306258714,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,9,-0.22967642495312357,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,17,-28.50826422464602,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,3,10.30631758141426,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",30,19,10.30636786169566,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
